name;stage;from;to;day
Lixx;temple;2019-08-01 18:00;2019-08-01 19:00;1
Changing Faces;temple;2019-08-01 19:00;2019-08-01 20:00;1
Kove;temple;2019-08-01 20:00;2019-08-01 21:00;1
1991;temple;2019-08-01 21:00;2019-08-01 22:00;1
S.P.Y;temple;2019-08-01 22:00;2019-08-01 23:00;1
Culture Shock;temple;2019-08-01 23:00;2019-08-02 00:00;1
Calyx & TeeBee;temple;2019-08-02 00:00;2019-08-02 01:00;1
Macky Gee;temple;2019-08-02 01:00;2019-08-02 02:00;1
Dirthyphonics;temple;2019-08-02 02:00;2019-08-02 03:00;1
Muzzy;temple;2019-08-02 03:00;2019-08-02 04:00;1
Furious Freaks;shredder;2019-08-01 18:00;2019-08-01 19:00;1
The Prophecy;shredder;2019-08-01 19:00;2019-08-01 20:00;1
Trilo;shredder;2019-08-01 20:00;2019-08-01 21:00;1
Akov;shredder;2019-08-01 21:00;2019-08-01 22:00;1
Dub Elements;shredder;2019-08-01 22:00;2019-08-01 23:00;1
Cause4Concern;shredder;2019-08-01 23:00;2019-08-02 00:00;1
Signal;shredder;2019-08-02 00:00;2019-08-02 01:00;1
State of Mind;shredder;2019-08-02 01:00;2019-08-02 02:00;1
ABIS;shredder;2019-08-02 02:00;2019-08-02 03:00;1
Zombie Cats;shredder;2019-08-02 03:00;2019-08-02 04:00;1
Disco Partysons;freedom;2019-08-01 16:00;2019-08-01 20:30;1
Madelaine;freedom;2019-08-01 20:30;2019-08-01 22:00;1
Akira;freedom;2019-08-01 22:00;2019-08-01 23:30;1
Victor Tellagio;freedom;2019-08-01 23:30;2019-08-02 01:00;1
Gehringer Gang;freedom;2019-08-02 01:00;2019-08-02 04:00;1
Liquidators;eve;2019-08-01 18:00;2019-08-01 20:00;1
HumaNature;eve;2019-08-01 20:00;2019-08-01 21:00;1
Edlan;eve;2019-08-01 21:00;2019-08-01 22:00;1
Flava D;eve;2019-08-01 22:00;2019-08-01 23:00;1
LSB;eve;2019-08-01 23:00;2019-08-02 00:00;1
Lenzman;eve;2019-08-02 00:00;2019-08-02 01:00;1
London Elektricity;eve;2019-08-02 01:00;2019-08-02 02:00;1
Koven;eve;2019-08-02 02:00;2019-08-02 03:00;1
Feint;eve;2019-08-02 03:00;2019-08-02 04:00;1
B-Complex;eve;2019-08-02 04:00;2019-08-02 05:00;1
Smooth;eve;2019-08-02 05:00;2019-08-02 06:00;1
Poly-V;portal;2019-08-01 16:00;2019-08-01 17:00;1
Mellifera;portal;2019-08-01 17:00;2019-08-01 18:00;1
N:Force;portal;2019-08-01 18:00;2019-08-01 19:00;1
Subtension;portal;2019-08-01 19:00;2019-08-01 20:00;1
Hybris;portal;2019-08-01 20:00;2019-08-01 21:00;1
QZB;portal;2019-08-01 21:00;2019-08-01 22:00;1
Monty;portal;2019-08-01 22:00;2019-08-01 23:00;1
Halogenix;portal;2019-08-01 23:00;2019-08-02 00:00;1
Kasra;portal;2019-08-02 00:00;2019-08-02 01:00;1
Mefjus;portal;2019-08-02 01:00;2019-08-02 02:00;1
Icicle;portal;2019-08-02 02:00;2019-08-02 03:00;1
Emperor;portal;2019-08-02 03:00;2019-08-02 04:00;1
Rido;portal;2019-08-02 04:00;2019-08-02 05:00;1
Bifidus Aktif b2b Akira;portal;2019-08-02 05:00;2019-08-02 06:00;1
TOD;storm;2019-08-01 12:00;2019-08-01 13:00;1
Krowak;storm;2019-08-01 13:00;2019-08-01 14:00;1
Kahy & Mkay;storm;2019-08-01 14:00;2019-08-01 15:00;1
C:rcle;storm;2019-08-01 15:00;2019-08-01 16:00;1
Keeno b2b Whiney;mothership;2019-08-02 19:00;2019-08-02 21:00;2
Delta Heavy;mothership;2019-08-02 21:00;2019-08-02 22:00;2
OPENING SHOW;mothership;2019-08-02 22:00;2019-08-02 22:30;2
Andy C;mothership;2019-08-02 22:30;2019-08-02 23:30;2
Sub Focus x Wilkinson;mothership;2019-08-02 23:30;2019-08-03 01:00;2
Pendulum;mothership;2019-08-03 01:00;2019-08-03 02:00;2
Noisia;mothership;2019-08-03 02:00;2019-08-03 03:00;2
The Prototypes;mothership;2019-08-03 03:00;2019-08-03 04:00;2
Kato;temple;2019-08-02 18:00;2019-08-02 19:00;2
Madtface b2b Twisted;temple;2019-08-02 19:00;2019-08-01 20:00;2
North Base;temple;2019-08-02 20:00;2019-08-02 21:00;2
Danny Byrd;temple;2019-08-02 21:00;2019-08-02 22:00;2
break;temple;2019-08-02 22:00;2019-08-02 22:30;2
